Citizenship,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,G. Total
Arabs,288,192,219,296,226,291,373,337,279,296,279,318,3394
Australia,1614,1114,1123,1580,1114,1407,1871,1209,1432,1213,1353,1851,16881
Bangladesh,130,199,213,149,125,125,179,172,217,164,179,170,2022
Belgium,450,511,551,761,536,722,2207,1208,881,643,339,289,9098
Brunei,86685,96045,122093,90921,112727,112967,105457,108505,128625,91914,101377,138701,1296017
Canada,652,743,698,652,708,780,519,651,563,658,636,774,8034
China,3205,3669,3109,3055,3195,3141,3809,3594,3239,3057,3242,3618,39933
Europe,752,989,991,1032,813,845,1873,3169,1496,998,790,874,14622
France,263,335,411,566,437,461,1199,1269,558,411,182,233,6325
Germany,381,479,598,582,495,453,756,875,597,508,402,407,6533
Hong Kong,4,41,21,3,6,9,7,8,16,6,12,25,158
India,1865,1811,2127,2122,2342,2373,2497,2311,2337,2209,2292,2505,26791
Indonesia,35450,32178,26675,28410,29364,39906,43834,34595,32553,33381,31511,50604,418461
Japan ,628,758,805,763,746,714,888,1276,1025,697,977,814,10091
Latin America,105,130,83,74,99,168,116,118,118,68,55,100,1234
New Zealand,389,246,321,320,350,412,442,420,357,294,278,470,4299
Norway,237,285,252,289,159,251,417,275,289,265,186,178,3083
Pakistan,268,344,277,289,176,287,336,300,290,209,231,421,3428
Peninsular Malaysia,145447,111320,100676,117066,95256,177168,94524,97009,171055,158190,161891,174896,1604498
Philippines,3905,5245,5269,4652,5358,5674,5535,5490,5751,4922,5501,5936,63238
Russia,163,129,136,174,144,105,197,127,150,133,158,151,1767
Sabah,68888,69242,141988,89739,58974,69387,64809,61526,87375,84531,89704,89314,975477
Singapore,2615,3053,3356,3048,4669,6879,3594,3459,3593,3309,3593,5644,46812
South Korea,1338,931,841,807,681,905,865,935,980,721,971,845,10820
Sri Lanka,70,88,93,100,65,65,103,148,113,97,111,117,1170
Taiwan,749,751,698,659,637,798,1259,1252,808,685,880,828,10004
Thailand,835,1136,1027,1040,912,1128,1249,1067,1155,1073,1193,913,12728
United Kingdom,1812,2147,2476,2732,2774,2428,5119,3395,2192,2725,1913,2481,32194
USA,618,748,814,607,745,767,1095,863,757,622,683,1023,9342
Grand Total,359806,334859,417941,352488,323833,430616,345129,335563,448801,393999,410919,484500,4638454