Citizenship,latitude,longitude
Arabs,23.4241,53.8478
Australia,-26.02647,134.10758
Bangladesh,23.684994,90.356331
Belgium,50.503887,4.469936
Brunei,4.535277,114.727669
Canada,61.0666922,-107.991707
China,35.000074,104.999927
Europe,54.526,15.2551
France,46.603354,1.8883335
Germany,51.1638175,10.4478313
Hong Kong,22.2793278,114.1628131
India,22.3511148,78.6677428
Indonesia,0.7893,113.9213
Japan ,36.5748441,139.2394179
Latin America,39.7837304,-100.445882
New Zealand,-41.5000831,172.8344077
Norway,61.1529386,8.7876653
Pakistan,30.3308401,71.247499
Peninsular Malaysia,3.9743,102.4381
Philippines,12.7503486,122.7312101
Russia,64.6863136,97.7453061
Sabah,5.4257359,117.0326392
Singapore,1.352083,103.819839
South Korea,36.638392,127.6961188
Sri Lanka,7.5554942,80.7137847
Taiwan,23.9739374,120.9820179
Thailand,14.8971921,100.83273
United Kingdom,54.7023545,-3.2765753
USA,33.247875,-83.441162
Sarawak,1.553278,110.359213